id,season,numeggs,color,haschocolate,recipeurl
Theme,
Theme.Cake,
Theme.Cake.Cherry Cake,1,3,#efe6c4,0,http://www.pbs.org/food/recipes/cherry-cake/
Theme.Cake.Angel Food Cake with Lemon Curd,2,0,#efdfa1,0,http://www.pbs.org/food/recipes/angel-food-cake-lemon-curd/
Theme.Cake.Frosted Walnut Cake,3,6,#efda88,0,http://www.bbc.co.uk/food/recipes/marys_frosted_walnut_15679/
Theme.Cake.Jaffa Cake,4,1,#efcd47,1,http://www.pbs.org/food/recipes/mary-berrys-jaffa-cakes/
Theme.Cake.Princesstarta,1,10,#efc005,0,http://www.pbs.org/food/recipes/prinsesstarta-princess-cake/
Theme.Dough,
Theme.Dough.Povitica,1,2,#f0c4e3,1,http://www.pbs.org/food/recipes/povitica/
Theme.Dough.Apricot Couronne,2,1,#d1a0c3,0,http://www.pbs.org/food/recipes/apricot-couronne/
Theme.PiesAndTarts,
Theme.PiesAndTarts.Mini Pear Pies,1,1,#dc839c,0,http://www.pbs.org/food/recipes/mini-pear-pies/
Theme.PiesAndTarts.Egg Custard Tart,2,8,#bb647d,0,http://www.pbs.org/food/recipes/egg-custard-tart/
Theme.Bread,
Theme.Bread.Ciabatta,1,0,#f78489,0,http://www.pbs.org/food/recipes/ciabatta/
Theme.Bread.English Muffins,2,1,#e2696f,0,http://www.pbs.org/food/recipes/english-muffins/
Theme.Bread.French Baguette,3,0,#c1555a,0,http://www.bbc.co.uk/food/recipes/paul_hollywoods_55351
Theme.Bread.Dampfnudel,4,5,#9e242a,0,http://www.pbs.org/food/recipes/dampfnudel/
Theme.Pastry,
Theme.Pastry.Kouign Amann,1,0,#f6bc8e,0,http://www.pbs.org/food/recipes/kouign-amann/
Theme.Pastry.Choux Buns Religieuse,2,8,#f7a869,1,http://www.pbs.org/food/recipes/choux-buns-religieuse/
Theme.Pastry.Flauones Bread,3,7,#f08e3f,0,http://www.bbc.co.uk/food/recipes/pauls_flaounas_89782
Theme.Pastry.Bakewell Tart,4,2,#f07410,0,http://www.pbs.org/food/recipes/marys-bakewell-tart/
Theme.Biscuits,
Theme.Biscuits.Florentines,1,0,#ecac8f,0,http://www.pbs.org/food/recipes/florentines/
Theme.Biscuits.French Classic Tuiles,2,7,#d48b6b,1,http://www.pbs.org/food/recipes/french-classic-tuiles-chocolate-mousse/
Theme.Biscuits.Arlettes,3,0,#b66e4e,0,http://www.bbc.co.uk/food/recipes/arlettes_17164
Theme.Biscuits.Viennese Whirls,3,0,#a24c25,0,http://www.pbs.org/food/recipes/mary-berrys-viennese-whirls/
Theme.Dessert,
Theme.Dessert.Tiramisu Cake,1,4,#9f8ca3,1,http://www.pbs.org/food/recipes/tiramisu-cake/
Theme.Dessert.Floating Islands with Spun Sugar,2,12,#9975a0,0,http://www.pbs.org/food/recipes/floating-islands-spun-sugar/
Theme.Dessert.Spanish Windtorte,3,12,#875d8e,0,http://www.bbc.co.uk/food/recipes/spanische_windtorte_64745
Theme.Dessert.Marjolaine,4,8,#6d4275,1,http://www.pbs.org/food/recipes/marjolaine/
Theme.Patisserie,
Theme.Patisserie.Mokatines,3,4,#f8bcc7,0,http://www.bbc.co.uk/food/recipes/mokatines_96500
Theme.Patisserie.Schichttorte,1,10,#d78b99,1,http://www.pbs.org/food/recipes/schichttorte/
Theme.Patisserie.Savarin with Chantilly Cream,4,6,#9c4f5d,0,http://www.pbs.org/food/recipes/savarin-chantilly-cream/
Theme.Miscellaneous,
Theme.Miscellaneous.Gluten-free Pita Bread,3,3,#f18971,0,http://www.bbc.co.uk/food/recipes/gluten-free_pitta_bread_09625
Theme.Miscellaneous.Tennis Cake,3,9,#da735b,0,http://www.bbc.co.uk/food/recipes/tennis_cake_09325
Theme.Miscellaneous.Chocolate Souffles,3,6,#c25a42,1,http://www.bbc.co.uk/food/recipes/hot_chocolate_souffle_95703
Theme.Miscellaneous.Jumble Biscuits,4,4,#c24842,0,http://www.pbs.org/food/recipes/jumble-biscuits/
Theme.Miscellaneous.Fougasse,4,0,#b13a34,0,http://www.pbs.org/food/recipes/fougasse/
Theme.Miscellaneous.Lacey Pancakes,4,2,#992823,0,http://www.pbs.org/food/recipes/lace-pancakes/
Theme.Miscellaneous.Hazelnut Dacquoise,2,6,#821813,1,http://www.pbs.org/food/recipes/hazelnut-dacquoise/
Theme.Miscellaneous.Charlotte Royale,2,14,#730a05,0,http://www.pbs.org/food/recipes/charlotte-royale/
Theme.The Final,
Theme.The Final.Victoria Sandwich,4,4,#f4d288,0,http://www.pbs.org/food/recipes/marys-victoria-sandwich/
Theme.The Final.Raspberry Mille-Feuille,3,0,#eabf64,0,http://www.bbc.co.uk/food/recipes/raspberry_millefeuille_60382
Theme.The Final.Pretzels,2,0,#dfb252,0,http://www.pbs.org/food/recipes/pretzels/
Theme.The Final.Tea Time Scones,1,1,#d3a239,0,http://www.pbs.org/food/recipes/tea-time-scones/
Theme.The Final.Mini Victoria Sponge Cakes,1,3,#b98921,0,http://www.pbs.org/food/recipes/mini-victoria-sponge-cakes/
Theme.The Final.Lemon Tartlets,4,5,#ac7a0e,0,http://www.pbs.org/food/recipes/lemon-tartlets/
